一度肿大	一度肿大
二度肿大	二度肿大
三度肿大	三度肿大
一度脱垂	一度脱垂
二度脱垂	二度脱垂
三度脱垂	三度脱垂
甲状腺一度肿大	甲状腺一度肿大
甲状腺二度肿大	甲状腺二度肿大
甲状腺三度肿大	甲状腺三度肿大
前列腺一度肥大	前列腺一度肥大
前列腺二度肥大	前列腺二度肥大
前列腺三度肥大	前列腺三度肥大
子宫一度脱垂	子宫一度脱垂
子宫二度脱垂	子宫二度脱垂
子宫三度脱垂	子宫三度脱垂
一度宫颈糜烂	一度宫颈糜烂
二度宫颈糜烂	二度宫颈糜烂
三度宫颈糜烂	三度宫颈糜烂
一级钙化	一级钙化
二级钙化	二级钙化
三级钙化	三级钙化
四级钙化	四级钙化
一类钙化	一类钙化
二类钙化	二类钙化
三类钙化	三类钙化
一级淋巴结	一级淋巴结
二级淋巴结	二级淋巴结
三级淋巴结	三级淋巴结
一站淋巴结	一站淋巴结
二站淋巴结	二站淋巴结
三站淋巴结	三站淋巴结
一组淋巴结	一组淋巴结
二组淋巴结	二组淋巴结
三组淋巴结	三组淋巴结
四组淋巴结	四组淋巴结
五组淋巴结	五组淋巴结
六组淋巴结	六组淋巴结
七组淋巴结	七组淋巴结
第一站	第一站
第二站	第二站
第三站	第三站
零类	零类
一类	一类
二类	二类
三类	三类
四类	四类
四A类	四A类
四B类	四B类
四C类	四C类
五类	五类
六类	六类
零级	零级
一级	一级
二级	二级
三级	三级
四级	四级
五级	五级
六级	六级
T一	T一
T二	T二
T三	T三
T四	T四
N零	N零
N一	N一
N二	N二
N三	N三
M零	M零
M一	M一
第一期	第一期
第二期	第二期
第三期	第三期
第四期	第四期
早一期	早一期
晚一期	晚一期
一A期	一A期
一B期	一B期
二A期	二A期
二B期	二B期
三A期	三A期
三B期	三B期
三C期	三C期
四A期	四A期
四B期	四B期
一级强化	一级强化
二级强化	二级强化
三级强化	三级强化
轻度强化	轻度强化
中度强化	中度强化
重度强化	重度强化
明显强化	明显强化
均匀强化	均匀强化
不均匀强化	不均匀强化
环形强化	环形强化
一过性强化	一过性强化
第一时相	第一时相
第二时相	第二时相
第三时相	第三时相
第四时相	第四时相
动脉一期	动脉一期
动脉二期	动脉二期
门脉一期	门脉一期
门脉二期	门脉二期
延迟一期	延迟一期
延迟二期	延迟二期
一度水肿	一度水肿
二度水肿	二度水肿
三度水肿	三度水肿
四度水肿	四度水肿
一度积液	一度积液
二度积液	二度积液
三度积液	三度积液
一度积水	一度积水
二度积水	二度积水
三度积水	三度积水
轻度积液	轻度积液
中度积液	中度积液
重度积液	重度积液
少量积液	少量积液
中量积液	中量积液
大量积液	大量积液
一级骨折	一级骨折
二级骨折	二级骨折
三级骨折	三级骨折
一型骨折	一型骨折
二型骨折	二型骨折
三型骨折	三型骨折
四型骨折	四型骨折
A型骨折	A型骨折
B型骨折	B型骨折
C型骨折	C型骨折
一度骨质疏松	一度骨质疏松
二度骨质疏松	二度骨质疏松
三度骨质疏松	三度骨质疏松
一级骨关节炎	一级骨关节炎
二级骨关节炎	二级骨关节炎
三级骨关节炎	三级骨关节炎
四级骨关节炎	四级骨关节炎
半月板一度损伤	半月板一度损伤
半月板二度损伤	半月板二度损伤
半月板三度损伤	半月板三度损伤
韧带一度损伤	韧带一度损伤
韧带二度损伤	韧带二度损伤
韧带三度损伤	韧带三度损伤
肌腱一度损伤	肌腱一度损伤
肌腱二度损伤	肌腱二度损伤
肌腱三度损伤	肌腱三度损伤
一度脑萎缩	一度脑萎缩
二度脑萎缩	二度脑萎缩
三度脑萎缩	三度脑萎缩
一级脑白质病变	一级脑白质病变
二级脑白质病变	二级脑白质病变
三级脑白质病变	三级脑白质病变
四级脑白质病变	四级脑白质病变
脑室一度扩张	脑室一度扩张
脑室二度扩张	脑室二度扩张
脑室三度扩张	脑室三度扩张
一度脂肪肝	一度脂肪肝
二度脂肪肝	二度脂肪肝
三度脂肪肝	三度脂肪肝
轻度脂肪肝	轻度脂肪肝
中度脂肪肝	中度脂肪肝
重度脂肪肝	重度脂肪肝
肝纤维化一期	肝纤维化一期
肝纤维化二期	肝纤维化二期
肝纤维化三期	肝纤维化三期
肝纤维化四期	肝纤维化四期
肝硬化一期	肝硬化一期
肝硬化二期	肝硬化二期
肝硬化三期	肝硬化三期
肾囊肿一级	肾囊肿一级
肾囊肿二级	肾囊肿二级
肾囊肿三级	肾囊肿三级
肾囊肿四级	肾囊肿四级
肾积水一度	肾积水一度
肾积水二度	肾积水二度
肾积水三度	肾积水三度
输尿管一度扩张	输尿管一度扩张
输尿管二度扩张	输尿管二度扩张
输尿管三度扩张	输尿管三度扩张
胆管一度扩张	胆管一度扩张
胆管二度扩张	胆管二度扩张
胆管三度扩张	胆管三度扩张
胰管一度扩张	胰管一度扩张
胰管二度扩张	胰管二度扩张
胰管三度扩张	胰管三度扩张
一度粘连	一度粘连
二度粘连	二度粘连
三度粘连	三度粘连
轻度粘连	轻度粘连
中度粘连	中度粘连
重度粘连	重度粘连
一度梗阻	一度梗阻
二度梗阻	二度梗阻
三度梗阻	三度梗阻
完全梗阻	完全梗阻
不完全梗阻	不完全梗阻
