乘十的十二次方每升	×10¹²/L
乘十的三次方每微升	×10³/μL
乘十的四次方每微升	×10⁴/μL
乘十的五次方每微升	×10⁵/μL
乘十的六次方每微升	×10⁶/μL
乘十的三次方每毫升	×10³/ml
乘十的四次方每毫升	×10⁴/ml
乘十的五次方每毫升	×10⁵/ml
乘十的六次方每毫升	×10⁶/ml
乘十的九次方毫摩尔每升	×10⁹mmol/L
乘十的六次方毫摩尔每升	×10⁶mmol/L
乘十的三次方毫摩尔每升	×10³mmol/L
乘十的九次方微摩尔每升	×10⁹μmol/L
乘十的六次方微摩尔每升	×10⁶μmol/L
乘十的九次方纳摩尔每升	×10⁹nmol/L
乘十的六次方纳摩尔每升	×10⁶nmol/L
乘十的九次方皮摩尔每升	×10⁹pmol/L
乘十的六次方皮摩尔每升	×10⁶pmol/L
